[2026-03-31 11:15:02,559: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d?recursive=false&expand=false "HTTP/1.1 200 OK"]
[2026-03-31 11:15:03,388: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/dataset_infos.json "HTTP/1.1 404 Not Found"]
[2026-03-31 11:15:03,465: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:15:03,615: INFO: components: saved train to the artifacts\data_ingestion\train]
[2026-03-31 11:15:03,615: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:15:03,651: INFO: components: saved validation to the artifacts\data_ingestion\validation]
[2026-03-31 11:15:03,651: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:15:03,691: INFO: components: saved test to the artifacts\data_ingestion\test]
[2026-03-31 11:15:03,707: INFO: utils: loaded the yaml file]
[2026-03-31 11:15:03,708: INFO: config: created the artifacts]
[2026-03-31 11:15:03,709: INFO: utils: created the path artifacts]
[2026-03-31 11:15:03,709: INFO: config: starting the validation----]
[2026-03-31 11:17:16,851: INFO: utils: loaded the yaml file]
[2026-03-31 11:17:16,867: INFO: config: created the artifacts]
[2026-03-31 11:17:16,867: INFO: utils: created the path artifacts]
[2026-03-31 11:17:16,867: INFO: config: starting the validation----]
[2026-03-31 11:18:57,705: INFO: utils: loaded the yaml file]
[2026-03-31 11:18:57,705: INFO: config: created the artifacts]
[2026-03-31 11:18:57,722: INFO: utils: created the path artifacts]
[2026-03-31 11:18:57,722: INFO: config: starting the validation----]
[2026-03-31 11:22:33,596: INFO: main: started data_ingestion]
[2026-03-31 11:22:33,611: INFO: utils: loaded the yaml file]
[2026-03-31 11:22:33,621: INFO: utils: created the path artifacts]
[2026-03-31 11:22:33,622: INFO: main: started the getting the artifacts]
[2026-03-31 11:22:33,623: INFO: main: check your artifacts folder all good]
[2026-03-31 11:22:34,302: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"]
[2026-03-31 11:22:34,372: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stacked-summaries/stacked-samsum-1024/b186aa62836c86d22be8fba79a15e546e2b79d7d/README.md "HTTP/1.1 200 OK"]
[2026-03-31 11:22:34,683: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 11:22:35,718: INFO: _client: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/stacked-summaries/stacked-samsum-1024/stacked-summaries/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 11:22:36,043: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/revision/b186aa62836c86d22be8fba79a15e546e2b79d7d "HTTP/1.1 200 OK"]
[2026-03-31 11:22:36,520: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/.huggingface.yaml "HTTP/1.1 404 Not Found"]
[2026-03-31 11:22:37,157: INFO: _client: HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=stacked-summaries/stacked-samsum-1024 "HTTP/1.1 200 OK"]
[2026-03-31 11:22:37,631: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"]
[2026-03-31 11:22:37,960: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d?recursive=false&expand=false "HTTP/1.1 200 OK"]
[2026-03-31 11:22:38,918: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/dataset_infos.json "HTTP/1.1 404 Not Found"]
[2026-03-31 11:22:39,021: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:22:39,197: INFO: components: saved train to the artifacts\data_ingestion\train]
[2026-03-31 11:22:39,200: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:22:39,247: INFO: components: saved validation to the artifacts\data_ingestion\validation]
[2026-03-31 11:22:39,250: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:22:39,289: INFO: components: saved test to the artifacts\data_ingestion\test]
[2026-03-31 11:22:39,299: INFO: utils: loaded the yaml file]
[2026-03-31 11:22:39,300: INFO: config: created the artifacts]
[2026-03-31 11:22:39,303: INFO: utils: created the path artifacts]
[2026-03-31 11:22:39,303: INFO: config: starting the validation----]
[2026-03-31 11:55:53,512: INFO: main: started data_ingestion]
[2026-03-31 11:55:53,520: INFO: utils: loaded the yaml file]
[2026-03-31 11:55:53,524: INFO: utils: created the path artifacts]
[2026-03-31 11:55:53,525: INFO: main: started the getting the artifacts]
[2026-03-31 11:55:53,525: INFO: main: check your artifacts folder all good]
[2026-03-31 11:55:54,262: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"]
[2026-03-31 11:55:54,336: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stacked-summaries/stacked-samsum-1024/b186aa62836c86d22be8fba79a15e546e2b79d7d/README.md "HTTP/1.1 200 OK"]
[2026-03-31 11:55:54,726: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 11:55:55,677: INFO: _client: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/stacked-summaries/stacked-samsum-1024/stacked-summaries/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 11:55:56,201: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/revision/b186aa62836c86d22be8fba79a15e546e2b79d7d "HTTP/1.1 200 OK"]
[2026-03-31 11:55:56,622: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/.huggingface.yaml "HTTP/1.1 404 Not Found"]
